"glycerol" "carbonate" "glyc50" "temperature" "vitesse"
"1" 0.273869789710599 0.141945397742215 0.0707492058282507 50 10
"2" 0.227871015117364 0.114053072341679 0.0448562726081769 50 15
"3" 0.231462322204327 0.0601652977697483 0.039160070478912 50 20
"4" 0.216775329518327 0.0951555771878464 0.0306291291108322 50 25
"5" 0.186695217866065 0.0163732273195273 0.0169146366880154 50 50
"6" 0.181875386350238 0.0507105511317998 0.00786817599046996 50 100
"7" 0.156214785098862 0.0874956534709781 0.0498130229550904 50 125
"8" 0.172857394352441 0.0116259836818734 0.0318806291578604 50 150
"9" 0.170125889665884 0.00520043617025974 0.0502048078903463 50 175
"10" 0.240743003971512 0.13636553756368 0.0395154881749833 60 10
"11" 0.238440991131172 0.121666094115436 0.0380414724045519 60 15
"12" 0.189579852512374 0.124578312619108 0.0552832863791967 60 20
"13" 0.199548808102432 0.116989059530975 0.0267273933852642 60 25
"14" 0.172556994764014 0.0595722391091855 0.0286385171450388 60 50
"15" 0.136022984494753 0.0289629704203668 0.0276836211727924 60 100
"16" 0.137987949636996 0.0285586733675199 0.0481434955819104 60 125
"17" 0.132392606849584 0.038874794078098 0.0336325585931755 60 150
"18" 0.11555836613387 0.0170878342734734 0.00641633950762916 60 175
"19" 0.226603341765194 0.139320181677929 0.0644191055388426 70 10
"20" 0.19749472017609 0.0942995954606159 0.0614960144932771 70 15
"21" 0.176704695822384 0.157098910759712 0.0880084760536856 70 20
"22" 0.182033083321424 0.104055245539423 0.0412449974694326 70 25
"23" 0.14016087952607 0.0551197507656416 0.053653389913458 70 50
"24" 0.109374174356403 0.0491122792176571 0.046341196416427 70 100
"25" 0.10429515497162 0.0439154537065285 0.067172856912729 70 125
"26" 0.123419559692433 0.0518604930474685 0.0257377840225199 70 150
"27" 0.104747229998646 0.00517552827469418 0.0735673744487401 70 175
"28" 0.214452590140847 0.196309278834903 0.0461823656424295 80 10
"29" 0.166955938298291 0.1346161319196 0.0722968397718805 80 15
"30" 0.143353755637052 0.132938571830509 0.0377677641628611 80 20
"31" 0.154902928159384 0.157438346330165 0.0517547690670669 80 25
"32" 0.117921781974195 0.089380556809416 0.022659434805947 80 50
"33" 0.0932223124051532 0.0705348007835831 0.0433486981607103 80 100
"34" 0.0874317793859709 0.0608322442273341 0.0226165152878397 80 125
"35" 0.0811857691122486 0.0457116232116551 0.0388489317163889 80 150
"36" 0.075544501578132 0.0436635424588686 0.0227367368170174 80 175
"37" 0.181872724547926 0.178167187504815 0.0611872109132165 90 10
"38" 0.165294420928857 0.172179584417046 0.0639871454876345 90 15
"39" 0.14635548802339 0.162899595643634 0.036135445616304 90 20
"40" 0.125165823449549 0.134111233391837 0.0701035728626624 90 25
"41" 0.0894985867026372 0.0852979941152809 0.0350513655074734 90 50
"42" 0.0950950528394892 0.109480745947115 0.030261383151333 90 100
"43" 0.0736777361062265 0.0560535797392423 0.0397194750906745 90 125
"44" 0.0729670902395715 0.0824012910804755 0.0201569023053073 90 150
"45" 0.0580667866043556 0.0640628148985119 0.00672109311951305 90 175
"46" 0.159185810002046 0.17582177508621 0.0492570527032875 100 10
"47" 0.140064068819683 0.192866860446121 0.030084825127361 100 15
"48" 0.12245010627162 0.158991051692125 0.0465833663582497 100 20
"49" 0.114308351668125 0.173215911711097 0.0432722823709527 100 25
"50" 0.09249116032411 0.151756761679202 0.0595330717623346 100 50
"51" 0.0695193164099544 0.0510796508716387 0.0692840464677018 100 100
"52" 0.0578167205752252 0.0835266941720418 0.0640975221812156 100 125
"53" 0.0856853634631496 0.0752775797875813 0.0572381049799807 100 150
"54" 0.0682493214345988 0.0806378255415237 0.0702119231789445 100 175
"55" 0.163174955946095 0.194537622263852 0.0972599510007331 110 10
"56" 0.13291721618982 0.18150529965454 0.0910898992839067 110 15
"57" 0.11789996647402 0.200005989774677 0.0592670374503877 110 20
"58" 0.0800258425521134 0.163453165094436 0.0155969034352991 110 25
"59" 0.0598911429764924 0.170544190786011 0.0641096611414525 110 50
"60" 0.0574939089024461 0.0981114486796506 0.0346934905140955 110 100
"61" 0.0511003413695177 0.107116381773418 0.0696393363287826 110 125
"62" 0.0433112331631149 0.106065588802023 0.0823387775993338 110 150
"63" 0.037931189688775 0.111229628477176 0.0559996047068349 110 175
"64" 0.13746101645781 0.26379389964146 0.0663723062357623 120 10
